# MCU Time(ns), ADC reading
5928040527350.000000,45018.000000
5928041534431.000000,45163.000000
5928042541511.000000,45083.000000
5928043579110.000000,45531.000000
5928044586190.000000,45723.000000
5928045593271.000000,45707.000000
5928046630869.000000,45883.000000
5928047637950.000000,46011.000000
5928048675548.000000,46411.000000
5928049682629.000000,46379.000000
5928050689709.000000,46587.000000
5928051727308.000000,46923.000000
5928052734375.000000,46859.000000
5928053771973.000000,47243.000000
5928054779054.000000,47419.000000
5928055786134.000000,47483.000000
5928056823733.000000,47755.000000
5928057830813.000000,47931.000000
5928058868412.000000,47947.000000
5928059875492.000000,48299.000000
5928060882573.000000,48251.000000
5928061920171.000000,48619.000000
5928062927252.000000,48811.000000
5928063934332.000000,48811.000000
5928064941413.000000,48843.000000
5928065979011.000000,48939.000000
5928066986092.000000,49372.000000
5928068023690.000000,49356.000000
5928069030771.000000,49548.000000
5928070037851.000000,49468.000000
5928071075450.000000,49820.000000
5928072082530.000000,50140.000000
5928073089611.000000,49948.000000
5928074127209.000000,50396.000000
5928075134290.000000,50156.000000
5928076171875.000000,50540.000000
5928077178955.000000,50524.000000
5928078216554.000000,50828.000000
5928079223634.000000,50924.000000
5928080261233.000000,50940.000000
5928081268313.000000,51100.000000
5928082275394.000000,51228.000000
5928083312992.000000,51356.000000
5928084320073.000000,51260.000000
5928085327153.000000,51676.000000
5928086364752.000000,51740.000000
5928087371832.000000,51756.000000
5928088378913.000000,51916.000000
5928089416511.000000,52044.000000
5928090423592.000000,52060.000000
5928091430672.000000,52332.000000
5928092468271.000000,52332.000000
5928093475351.000000,52348.000000
5928094482432.000000,52668.000000
5928095520030.000000,52604.000000
5928096527111.000000,52684.000000
5928097534191.000000,52828.000000
5928098571790.000000,53036.000000
5928099609375.000000,52924.000000
5928100616455.000000,53261.000000
5928101623536.000000,53148.000000
5928102661134.000000,53565.000000
5928103668215.000000,53357.000000
5928104675295.000000,53613.000000
5928105712894.000000,53485.000000
5928106719974.000000,53549.000000
5928107757573.000000,53597.000000
5928108764653.000000,53981.000000
5928109771734.000000,53853.000000
5928110809332.000000,54093.000000
5928111816413.000000,54173.000000
5928112823493.000000,54317.000000
5928113861092.000000,54333.000000
5928114868172.000000,54493.000000
5928115905771.000000,54605.000000
5928116912851.000000,54701.000000
5928117919932.000000,54685.000000
5928118957530.000000,54733.000000
5928119964611.000000,54845.000000
5928120971691.000000,54877.000000
5928122009290.000000,55117.000000
5928123046875.000000,55101.000000
5928124084473.000000,55373.000000
5928125091554.000000,55533.000000
5928126098634.000000,55565.000000
5928127136233.000000,55581.000000
5928128143313.000000,55645.000000
5928129180912.000000,55581.000000
5928130187992.000000,55757.000000
5928131195073.000000,55965.000000
5928132232671.000000,55901.000000
5928133239752.000000,56061.000000
5928134277350.000000,56253.000000
5928135284431.000000,56157.000000
5928136291511.000000,56349.000000
5928137329110.000000,56205.000000
5928138336190.000000,56429.000000
5928139343271.000000,56669.000000
5928140380869.000000,56461.000000
5928141387950.000000,56765.000000
5928142395030.000000,56829.000000
5928143432629.000000,56813.000000
5928144439709.000000,56733.000000
5928145477308.000000,56909.000000
5928146484375.000000,57133.000000
5928147521973.000000,57165.000000
5928148529054.000000,57149.000000
5928149536134.000000,57005.000000
5928150573733.000000,57341.000000
5928151580813.000000,57422.000000
5928152618412.000000,57566.000000
5928153625492.000000,57390.000000
5928154632573.000000,57678.000000
5928155670171.000000,57518.000000
5928156677252.000000,57582.000000
5928157684332.000000,57566.000000
5928158721931.000000,57902.000000
5928159729011.000000,57726.000000
5928160736092.000000,57934.000000
5928161773690.000000,57838.000000
5928162780771.000000,57870.000000
5928163818369.000000,57902.000000
5928164825450.000000,58286.000000
5928165832530.000000,58222.000000
5928166870129.000000,58286.000000
5928167877209.000000,58142.000000
5928168884290.000000,58254.000000
5928169921875.000000,58558.000000
5928170959473.000000,58270.000000
5928171966554.000000,58494.000000
5928172973634.000000,58638.000000
5928174011233.000000,58574.000000
5928175018313.000000,58622.000000
5928176055912.000000,58718.000000
5928177062992.000000,58782.000000
5928178070073.000000,58878.000000
5928179107671.000000,58910.000000
5928180145270.000000,58990.000000
5928181152350.000000,58974.000000
5928182159431.000000,59070.000000
5928183197029.000000,59262.000000
5928184204110.000000,59230.000000
5928185211190.000000,59454.000000
5928186248789.000000,59262.000000
5928187255869.000000,59246.000000
5928188293468.000000,59502.000000
5928189300548.000000,59342.000000
5928190307629.000000,59742.000000
5928191345227.000000,59518.000000
5928192352308.000000,59758.000000
5928193389893.000000,59742.000000
5928194396973.000000,59822.000000
5928195404054.000000,59918.000000
5928196441652.000000,59790.000000
5928197448733.000000,59710.000000
5928198455813.000000,59966.000000
5928199493412.000000,59998.000000
5928200500492.000000,59982.000000
5928201507573.000000,60142.000000
5928202545171.000000,60126.000000
5928203552252.000000,60126.000000
5928204589850.000000,60190.000000
5928205596931.000000,60318.000000
5928206604011.000000,60142.000000
5928207641610.000000,60430.000000
5928208648690.000000,60430.000000
5928209655771.000000,60190.000000
5928210693369.000000,60334.000000
5928211700450.000000,60350.000000
5928212707530.000000,60510.000000
5928213745129.000000,60398.000000
5928214752209.000000,60734.000000
5928215789808.000000,60638.000000
5928215820312.000000,60702.000000
5928216827393.000000,60750.000000
5928217864991.000000,60830.000000
5928218872072.000000,60814.000000
5928219909670.000000,60894.000000
5928220916751.000000,60590.000000
5928221923831.000000,61006.000000
5928222961430.000000,60830.000000
5928223968510.000000,60942.000000
5928224975591.000000,60926.000000
5928226013189.000000,60974.000000
5928227020270.000000,60910.000000
5928228027350.000000,60974.000000
5928229064949.000000,61038.000000
5928230072029.000000,61022.000000
5928231109628.000000,61326.000000
5928232116708.000000,61358.000000
5928233123789.000000,61262.000000
5928234161387.000000,61262.000000
5928235168468.000000,61086.000000
5928236175548.000000,61278.000000
5928237213147.000000,61583.000000
5928238220227.000000,61535.000000
5928239257812.000000,61487.000000
